"Source:","C:\Users\Ben\Documents\GitHub\Attenuator_Controller_Board\KiCAD\Attenuator Controller Board\Attenuator Controller Board.sch"
"Date:","1/17/2022 8:16:53 PM"
"Tool:","Eeschema (5.1.6)-1"
"Component Count:","38"
"Ref","Value","Footprint","Datasheet","Manufacturer","Vendor"
"BZ1","CPT-2016-75-SMT-TR","Custom Footprints:SMT-0940-T-3V-R_9x9_alarm","https://media.digikey.com/pdf/Data%20Sheets/Projects%20Unlimited%20PDFs/SMT_09_Series_DS.pdf","PUI Audio, Inc.",""
"C1","10µF","Custom Footprints:0508_Capacitor","https://www.digikey.com/en/products/detail/taiyo-yuden/LWK212BJ106MD-T/2763363","Taiyo Yuden",""
"C2","0.1µF","Capacitor_SMD:C_0603_1608Metric","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10B104KB8NNNL/3894274","Samsung Electro-Mechanics",""
"C3","0.1µF","Capacitor_SMD:C_0603_1608Metric","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10B104KB8NNNL/3894274","Samsung Electro-Mechanics",""
"C4","0.1µF","Capacitor_SMD:C_0603_1608Metric","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10B104KB8NNNL/3894274","Samsung Electro-Mechanics",""
"C5","0.1µF","Capacitor_SMD:C_0603_1608Metric","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10B104KB8NNNL/3894274","Samsung Electro-Mechanics",""
"C6","0.1µF","Capacitor_SMD:C_0603_1608Metric","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10B104KB8NNNL/3894274","Samsung Electro-Mechanics",""
"C7","0.1µF","Capacitor_SMD:C_0603_1608Metric","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10B104KB8NNNL/3894274","Samsung Electro-Mechanics",""
"C8","10µF","Custom Footprints:0508_Capacitor","https://www.digikey.com/en/products/detail/taiyo-yuden/LWK212BJ106MD-T/2763363","Taiyo Yuden",""
"C9","0.1µF","Capacitor_SMD:C_0603_1608Metric","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10B104KB8NNNL/3894274","Samsung Electro-Mechanics",""
"C10","10µF","Custom Footprints:0508_Capacitor","https://www.digikey.com/en/products/detail/taiyo-yuden/LWK212BJ106MD-T/2763363","Taiyo Yuden",""
"C11","0.1µF","Capacitor_SMD:C_0603_1608Metric","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10B104KB8NNNL/3894274","Samsung Electro-Mechanics",""
"D1","BAT54BRW","Package_TO_SOT_SMD:SOT-363_SC-70-6","https://www.diodes.com/assets/Datasheets/ds30152.pdf","Diodes Incorporated",""
"D2","D_Schottky","Custom Footprints:DO-214BA","https://media.digikey.com/pdf/Data%20Sheets/Microsemi%20PDFs/LSM115J.pdf","Microchip Technology",""
"H1","MountingHole","Custom Footprints:1_4-20_Clearance_hole","http://dpk3n3gg92jwt.cloudfront.net/domains/raf/pdf/RAF%20Catalog.pdf","RAF Electronic Hardware",""
"H2","MountingHole","Custom Footprints:1_4-20_Clearance_hole","http://dpk3n3gg92jwt.cloudfront.net/domains/raf/pdf/RAF%20Catalog.pdf","RAF Electronic Hardware",""
"H3","MountingHole","Custom Footprints:1_4-20_Clearance_hole","http://dpk3n3gg92jwt.cloudfront.net/domains/raf/pdf/RAF%20Catalog.pdf","RAF Electronic Hardware",""
"H4","MountingHole","Custom Footprints:1_4-20_Clearance_hole","http://dpk3n3gg92jwt.cloudfront.net/domains/raf/pdf/RAF%20Catalog.pdf","RAF Electronic Hardware",""
"J1","Barrel_Jack_Switch","Custom Footprints:DC-jack_54-00165","https://tensility.s3-us-west-2.amazonaws.com/uploads/product_doc/document/4054/54-00165.pdf","Tensility International Corp",""
"J2","Conn_Coaxial","Custom Footprints:112640","https://s3-us-west-2.amazonaws.com/catsy.582/C112640.pdf","Amphenol RF",""
"J3","Conn_Coaxial","Custom Footprints:112640","https://s3-us-west-2.amazonaws.com/catsy.582/C112640.pdf","Amphenol RF",""
"J4","Conn_01x24_Female","Custom Footprints:Ref_only","https://www.samtec.com/partnumber/ssm-124-l-sv-lc?vendor=digikey","Samtec Inc.",""
"J5","Conn_01x24_Female","Custom Footprints:Ref_only","https://www.samtec.com/partnumber/ssm-124-l-sv-lc?vendor=digikey","Samtec Inc.",""
"J6","DSub9","Custom Footprints:K202XHT-E9P-N","http://www.kycon.com/Pub_Eng_Draw/K202XHT-E9P-N.pdf","Kycon, Inc.",""
"J7","DSub9","Custom Footprints:K202XHT-E9P-N","http://www.kycon.com/Pub_Eng_Draw/K202XHT-E9P-N.pdf","Kycon, Inc.",""
"J8","DSub9","Custom Footprints:K202XHT-E9P-N","http://www.kycon.com/Pub_Eng_Draw/K202XHT-E9P-N.pdf","Kycon, Inc.",""
"J9","DSub_15_HD","Custom Footprints:200-015-263R001","https://content.norcomp.net/rohspdfs/Connectors/2YY/200-015-263R001.pdf","NorComp Inc.",""
"JP1","Jumper_NC_Small","Jumper:SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm","~","",""
"JP2","Jumper_NC_Small","Jumper:SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm","~","",""
"JP3","Jumper_NC_Small","Jumper:SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm","~","",""
"JP4","Jumper_NC_Small","Jumper:SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm","~","",""
"LOGO1","CC license","Custom Footprints:Creative_commons_license","~","",""
"LOGO2","Jack Polarity","Custom Footprints:Polarity_Center_Positive","~","",""
"LOGO3","OSHW Logo","Symbol:OSHW-Logo2_7.3x6mm_SilkScreen","~","",""
"RN1","4.7k","Resistor_SMD:R_Array_Convex_4x1206","https://industrial.panasonic.com/cdbs/www-data/pdf/AOC0000/AOC0000C14.pdf","Panasonic Electronic Components",""
"U1","ADM3307EARUZ","Custom Footprints:ADM3307EARUZ","https://www.analog.com/media/en/technical-documentation/data-sheets/ADM3307E_3310E_3311E_3312E_3315E.pdf","Analog Devices Inc.",""
"U2","ZXMHC3A01T8TA","Custom Footprints:ZXMHC3A01T8TA","https://www.diodes.com/assets/Datasheets/ZXMHC3A01T8.pdf","Diodes Incorporated",""
"U3","Teensy3.5","Custom Footprints:Teensy_3_6_with_headers","https://media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/DEV-14056_Web.pdf","SparkFun Electronics",""
